min_time, max_time, size, raw
1409584288,1409585793,3,"{'162827fb7066dee3': ['plugged', '1409584302'], 'c65e30d1647924c8': ['plugged', '1409584308'], '474e21ce058b4d09': ['unplugged', '1409584375']}"
1409587410,1409643239,3,"{'162827fb7066dee3': ['unplugged', '1409587424'], 'c65e30d1647924c8': ['unplugged', '1409587430'], '474e21ce058b4d09': ['plugged', '1409587439']}"
1409643239,1409643369,3,"{'162827fb7066dee3': ['unplugged', '1409643252'], 'c65e30d1647924c8': ['plugged', '1409643259'], '474e21ce058b4d09': ['plugged', '1409643353']}"
1409645130,1409743995,3,"{'162827fb7066dee3': ['plugged', '1409645146'], 'c65e30d1647924c8': ['plugged', '1409645151'], '474e21ce058b4d09': ['unplugged', '1409645175']}"
1409744280,1409745909,3,"{'46e8e6f137e7c3b1': ['unplugged', '1409744354'], '162827fb7066dee3': ['unplugged', '1409744284'], 'c65e30d1647924c8': ['unplugged', '1409744300']}"
1409815300,1409817445,3,"{'162827fb7066dee3': ['unplugged', '1409815317'], 'c65e30d1647924c8': ['unplugged', '1409815321'], '474e21ce058b4d09': ['unplugged', '1409815371']}"
1410006949,1410011943,3,"{'162827fb7066dee3': ['unplugged', '1410006966'], 'c65e30d1647924c8': ['unplugged', '1410006970'], '474e21ce058b4d09': ['plugged', '1410006974']}"
1410014179,1410018306,3,"{'162827fb7066dee3': ['plugged', '1410014198'], 'c65e30d1647924c8': ['plugged', '1410014200'], '474e21ce058b4d09': ['unplugged', '1410014187']}"
1410083476,1410083893,3,"{'162827fb7066dee3': ['plugged', '1410083516'], 'c65e30d1647924c8': ['plugged', '1410083518'], '474e21ce058b4d09': ['unplugged', '1410083498']}"
1410184293,1410184416,3,"{'162827fb7066dee3': ['unplugged', '1410184299'], 'c65e30d1647924c8': ['unplugged', '1410184314'], '474e21ce058b4d09': ['unplugged', '1410184395']}"
1410454667,1410498082,3,"{'162827fb7066dee3': ['unplugged', '1410454706'], 'c65e30d1647924c8': ['unplugged', '1410454705'], '474e21ce058b4d09': ['unplugged', '1410454696']}"
1410531522,1410539576,3,"{'162827fb7066dee3': ['unplugged', '1410531563'], 'c65e30d1647924c8': ['unplugged', '1410531560'], '474e21ce058b4d09': ['unplugged', '1410531545']}"
1410596586,1410596722,3,"{'162827fb7066dee3': ['plugged', '1410596631'], 'c65e30d1647924c8': ['unplugged', '1410596606'], '474e21ce058b4d09': ['unplugged', '1410596608']}"
1410597448,1410680031,3,"{'162827fb7066dee3': ['unplugged', '1410597471'], 'c65e30d1647924c8': ['unplugged', '1410597468'], '474e21ce058b4d09': ['plugged', '1410597511']}"
1410682845,1410796659,3,"{'162827fb7066dee3': ['unplugged', '1410682868'], 'c65e30d1647924c8': ['unplugged', '1410682848'], '474e21ce058b4d09': ['plugged', '1410682884']}"
1410857750,1410858058,3,"{'162827fb7066dee3': ['unplugged', '1410857776'], 'c65e30d1647924c8': ['unplugged', '1410857771'], '474e21ce058b4d09': ['unplugged', '1410857796']}"
1410885095,1410965084,3,"{'162827fb7066dee3': ['unplugged', '1410885121'], 'c65e30d1647924c8': ['unplugged', '1410885132'], '474e21ce058b4d09': ['unplugged', '1410885136']}"
1411311832,1411399438,3,"{'162827fb7066dee3': ['unplugged', '1411311843'], 'c65e30d1647924c8': ['unplugged', '1411311833'], '474e21ce058b4d09': ['unplugged', '1411311898']}"
